vItemNumber,vLocation,vDescription,vShortDesc,vLook,vGenColor,vGenMaterial,vGenItemType,vMetalColor,vMetalType,vKeywords,vOnSale,vFeaturedItem,vSorting,vAggregation,vMaterialDesc,vFeatureDesc,vDetailDesc,itemprice_1,itemprice_2,imagefilename
C181370109,400,"Head out for date night and make heads turn with this Pretty in Prep Cocktail Ring.  I mean, you can't let a statement piece like this be left without attention.",The Pretty in Prep Cocktail Ring,American Prep,Clear/Crystal,Metal/Glass,Rings,Gold,Brass,"Crystal, glass, cocktail, accent, square",N,N,641,C181370116,Gold tone plating over brass with cubic zirconia accent,Adjustable | Style # C18137,Designed in the USA,12,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C181370109.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181370109-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181370109-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181370109-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181370109-5.JPG"
C181370112,400,"Head out for date night and make heads turn with this Pretty in Prep Cocktail Ring.  I mean, you can't let a statement piece like this be left without attention.",The Pretty in Prep Cocktail Ring,American Prep,Brown,Metal/Acrylic,Rings,Gold,Brass,"Crystal, glass, cocktail, accent, square, tortoiseshell",N,N,641,C181370116,Gold tone plating over brass with glass crystal and acrylic accent,Adjustable | Style # C18137,Designed in the USA,12,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C181370112.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181370112-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181370112-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181370112-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181370112-5.JPG"
C181370116,400,"Head out for date night and make heads turn with this Pretty in Prep Cocktail Ring.  I mean, you can't let a statement piece like this be left without attention.",The Pretty in Prep Cocktail Ring,American Prep,Red,Metal/Glass,Rings,Gold,Brass,"Crystal, glass, cocktail, accent, square",N,N,641,C181370116,Gold tone plating over brass with glass crystal accent,Adjustable | Style # C18137,Designed in the USA,12,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C181370116.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181370116-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181370116-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181370116-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181370116-5.JPG"
C181370122,400,"Head out for date night and make heads turn with this Pretty in Prep Cocktail Ring.  I mean, you can't let a statement piece like this be left without attention.",The Pretty in Prep Cocktail Ring,American Prep,Blue,Metal/Glass,Rings,Gold,Brass,"Crystal, glass, cocktail, accent, square, navy",N,N,641,C181370116,Gold tone plating over brass with glass crystal accent,Adjustable | Style # C18137,Designed in the USA,12,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C181370122.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181370122-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181370122-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181370122-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181370122-5.JPG"
